,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,roce_rank,ticker_x,coef_x,r_squared_x,std_x,coef_rank_x,std_rank_x,average_score,ticker_y,coef_y,r_squared_y,std_y,coef_rank_y,std_rank_y,coef_w
0,9,AAOI,Return on Capital Employed,0.0356,0.0611,0.0866,0.2234,-0.0223,-0.1225,-0.1207,-0.1405,-0.2228,-0.1576,,1449.0,AAOI,-0.03632787878959581,0.631972608422919,0.13125561359423832,1179.0,1179.0,420.0,AAOI,-0.03632787878959581,0.631972608422919,0.13125561359423832,1184.0,1179.0,-0.0229582243171325
1,25,AAT,Return on Capital Employed,0.0449,0.0531,0.0509,0.0425,0.0383,0.0423,0.0306,0.0298,0.0356,0.0402,,889.0,AAT,-0.0018303030303902254,0.517619635266694,0.0073070924450153235,942.0,92.0,266.2,AAT,-0.0018303030303902254,0.517619635266694,0.0073070924450153235,955.0,92.0,-0.0009474007870181132
2,41,ABCB,Return on Capital Employed,0.0177,0.0129,0.0182,0.125,0.0195,0.095,0.1126,0.0373,0.0344,0.0288,,1008.5,ABCB,0.0,0.026650744572812912,0.04096809002138128,662.5,538.0,249.20833333333337,ABCB,0.0,0.026650744572812912,0.04096809002138128,662.5,538.0,0.0
3,57,ABG,Return on Capital Employed,0.205,0.2591,0.2788,0.2216,0.2192,0.2023,0.1682,0.1249,0.2117,0.1328,,321.0,ABG,-0.01168606060660708,0.5164337475198519,0.046707626786211265,1066.0,603.0,257.68333333333334,ABG,-0.01168606060660708,0.5164337475198519,0.046707626786211265,1093.0,603.0,-0.006035076072814209
4,73,ABM,Return on Capital Employed,0.0811,0.0671,0.0341,0.0104,0.0507,0.0757,0.0351,0.0662,0.0999,0.1112,,391.5,ABM,0.004606666666885887,0.20049410737635787,0.029550372248078365,290.0,389.0,111.76666666666665,ABM,0.004606666666885887,0.20049410737635787,0.029550372248078365,322.0,389.0,0.0009236095213577077
5,89,ABOS,Return on Capital Employed,,,,,,-1.3222,-0.1924,-0.4468,-0.2396,-0.1782,,1470.0,ABOS,,,0.43402896493206533,,1554.0,,ABOS,,,0.43402896493206533,,1554.0,
6,105,ABR,Return on Capital Employed,50.9667,10.3568,0.0427,0.0531,0.0652,0.0724,0.0701,0.0564,0.0683,0.0859,,523.5,ABR,-3.21103030318219,0.36625584437378944,15.239794001639263,1236.0,1808.0,369.34999999999997,ABR,-3.21103030318219,0.36625584437378944,15.239794001639263,1236.0,1808.0,-1.1760586150018182
7,121,ABSI,Return on Capital Employed,,,,,,-0.3946,-0.1748,-0.2713,-0.3591,-0.5341,,1709.0,ABSI,,,0.12066620736560837,,1144.0,,ABSI,,,0.12066620736560837,,1144.0,
8,137,ABUS,Return on Capital Employed,-0.3728,-0.1102,-1.8436,-0.4813,-0.2809,-1.6813,-0.4684,-0.3797,-0.3893,-0.5938,,1733.0,ABUS,0.0,0.0038485190911500267,0.5654481798538218,662.5,1592.0,374.35833333333335,ABUS,0.0,0.0038485190911500267,0.5654481798538218,662.5,1592.0,0.0
9,153,ACA,Return on Capital Employed,,,0.1452,0.0911,0.0495,0.0761,0.0637,0.0379,0.1168,0.0712,,620.5,ACA,,,0.033115250923856816,,434.0,,ACA,,,0.033115250923856816,,434.0,
10,169,ACAD,Return on Capital Employed,-0.2993,-0.8206,-0.5208,-0.8593,-0.5075,-0.3309,-0.4152,-0.2773,-0.4475,-0.1032,,1387.0,ACAD,0.0430484848505245,0.3053263876047235,0.22377041895657254,80.0,1385.0,222.61666666666665,ACAD,0.0430484848505245,0.3053263876047235,0.22377041895657254,99.0,1385.0,0.013143838371267313
11,185,ACCD,Return on Capital Employed,,,,,-10.3338,-5.9434,-0.8872,-0.1184,-0.1072,-0.5908,-0.1361,1730.0,ACCD,,,3.8597979964414373,,1765.0,,ACCD,,,3.8597979964414373,,1765.0,
12,201,ACCO,Return on Capital Employed,0.1019,0.1101,0.1052,0.0881,0.091,0.094,0.0471,0.0662,0.0274,0.0216,,1060.0,ACCO,-0.009797575758044047,0.8224711380244116,0.031030249757293286,1046.0,408.0,318.1666666666667,ACCO,-0.009797575758044047,0.8224711380244116,0.031030249757293286,1119.0,408.0,-0.008058223283598875
13,217,ACDC,Return on Capital Employed,,,,,,-0.0672,-0.2167,-0.0429,0.1815,0.0226,,1052.5,ACDC,,,0.12942727069671214,,1174.0,,ACDC,,,0.12942727069671214,,1174.0,
14,233,ACEL,Return on Capital Employed,,,,0.0031,-0.0018,0.0268,-0.0319,0.1089,0.1506,0.1192,,368.0,ACEL,,,0.06592023008677896,,781.0,,ACEL,,,0.06592023008677896,,781.0,
15,249,ACHR,Return on Capital Employed,,,,,,-0.0943,-0.6474,-0.4686,-0.5908,-1.0016,,1804.0,ACHR,,,0.29285728674560924,,1462.0,,ACHR,,,0.29285728674560924,,1462.0,
16,265,ACHV,Return on Capital Employed,-0.8726,-0.4995,-1.1145,-1.7304,-0.8102,-0.9004,-0.3942,-0.7716,-1.6594,18.6976,,4.0,ACHV,1.0523963636861529,0.2611153890069501,5.915481208118238,7.0,1782.0,90.78333333333335,ACHV,1.0523963636861529,0.2611153890069501,5.915481208118238,7.0,1782.0,0.2747968858934095
17,281,ACIC,Return on Capital Employed,0.1203,0.0625,0.0086,0.0022,0.0027,-0.0104,-0.0095,-0.0306,-0.16,0.6085,,16.0,ACIC,0.0,0.05355895008372136,0.19497492172071773,662.5,1343.0,190.20833333333334,ACIC,0.0,0.05355895008372136,0.19497492172071773,662.5,1343.0,0.0
18,297,ACIW,Return on Capital Employed,0.0941,0.0967,0.148,0.0536,0.073,0.0515,0.0626,0.0915,0.1105,0.0939,,480.0,ACIW,0.0,0.01315010108003034,0.027658387516267105,662.5,360.0,187.45833333333334,ACIW,0.0,0.01315010108003034,0.027658387516267105,662.5,360.0,0.0
19,313,ACLS,Return on Capital Employed,-0.0472,0.0817,0.0623,0.1189,0.1291,0.0544,0.1131,0.2077,0.2749,0.2848,,75.0,ACLS,0.03015333333476169,0.7863100003874021,0.0976709480859073,100.0,1018.0,76.73333333333333,ACLS,0.03015333333476169,0.7863100003874021,0.0976709480859073,69.0,1018.0,0.02370986754613793
20,329,ACMR,Return on Capital Employed,,0.257,0.066,0.011,0.1384,0.1164,0.0729,0.0457,0.0688,0.1004,,446.5,ACMR,,,0.06672096122409109,,791.0,,ACMR,,,0.06672096122409109,,791.0,
21,345,ACNB,Return on Capital Employed,0.0163,0.0167,0.0158,0.014,0.0207,0.023,0.0139,0.0153,0.0196,0.0547,,750.5,ACNB,0.002214545454648499,0.30165475340012715,0.011581277995109175,335.0,153.0,144.11666666666667,ACNB,0.002214545454648499,0.30165475340012715,0.011581277995109175,337.0,153.0,0.0006680281630153654
22,361,ACRE,Return on Capital Employed,0.0424,0.0676,0.0974,0.0798,0.0637,0.0818,0.058,0.0614,0.0398,0.0325,,964.0,ACRE,-0.0030969696971148574,0.2105596960417282,0.019385468784633503,954.0,253.0,283.95000000000005,ACRE,-0.0030969696971148574,0.2105596960417282,0.019385468784633503,944.0,253.0,-0.0006520969980749474
23,377,ACRV,Return on Capital Employed,,,,,,,-3.4983,-0.1586,-0.1869,-0.4833,,1695.0,ACRV,,,1.4009656265858204,,1707.0,,ACRV,,,1.4009656265858204,,1707.0,
24,393,ACT,Return on Capital Employed,,,,,0.1615,0.1953,0.0972,0.1305,0.1719,0.159,,237.0,ACT,,,0.031287679506299106,,411.0,,ACT,,,0.031287679506299106,,411.0,
25,409,ACTG,Return on Capital Employed,-0.1254,-0.4933,-0.134,0.0983,-0.5333,-0.0918,0.2918,0.303,-0.3051,0.1114,,389.0,ACTG,0.04033696969887727,0.17103743929192972,0.28014614471735994,81.0,1450.0,126.25,ACTG,0.04033696969887727,0.17103743929192972,0.28014614471735994,159.0,1450.0,0.006899132006092129
26,425,ACVA,Return on Capital Employed,,,,,,-0.3732,-0.1677,-0.1368,-0.1784,-0.1242,,1409.0,ACVA,,,0.0907417786909646,,970.0,,ACVA,,,0.0907417786909646,,970.0,
27,441,ADCT,Return on Capital Employed,,,,-0.3679,-0.984,-0.9831,-0.5093,-0.4286,-0.2737,-0.5385,,1712.0,ADCT,,,0.2656701522488335,,1430.0,,ADCT,,,0.2656701522488335,,1430.0,
28,457,ADEA,Return on Capital Employed,0.2997,0.3192,0.0811,-0.0297,0.0288,-0.0597,0.0714,0.0037,0.1477,0.1421,,294.0,ADEA,-0.01691575757656348,0.1575686386450419,0.12240059681227047,1115.0,1149.0,291.2666666666667,ADEA,-0.01691575757656348,0.1575686386450419,0.12240059681227047,1023.0,1149.0,-0.002665392892988661
29,473,ADMA,Return on Capital Employed,-0.6982,-0.7012,-1.2109,-0.3654,-0.691,-0.3475,-0.3397,-0.2383,-0.1508,0.0177,,1101.5,ADMA,0.09442121212564925,0.6454237146554866,0.33757796151407754,40.0,1489.0,191.9333333333333,ADMA,0.09442121212564925,0.6454237146554866,0.33757796151407754,26.0,1489.0,0.060941689472410215
30,489,ADNT,Return on Capital Employed,0.0984,0.1407,0.0372,0.1246,-0.1575,0.026,-0.0324,0.2295,0.0476,0.0862,,520.5,ADNT,0.0,0.00023375960163418696,0.0996245456702313,662.5,1026.0,224.80833333333337,ADNT,0.0,0.00023375960163418696,0.0996245456702313,662.5,1026.0,0.0
31,505,ADPT,Return on Capital Employed,,,,-0.1278,-0.1392,-0.0823,-0.1446,-0.2561,-0.2626,-0.369,,1630.0,ADPT,,,0.09366393900209277,,991.0,,ADPT,,,0.09366393900209277,,991.0,
32,521,ADTN,Return on Capital Employed,0.0978,0.0487,0.0878,0.0805,-0.0644,-0.0587,-0.0145,-0.0152,-0.0485,-0.1591,,1451.0,ADTN,-0.022950303031388827,0.7052281759645711,0.0784965502426699,1148.0,890.0,400.06666666666666,ADTN,-0.022950303031388827,0.7052281759645711,0.0784965502426699,1163.0,890.0,-0.01618520034466051
