,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,roce_rank,ticker,coef,r_squared,std,coef_w,coef_rank,std_rank,average_score,final_rank
0,9,AAOI,Return on Capital Employed,0.0356,0.0611,0.0866,0.2234,-0.0223,-0.1225,-0.1207,-0.1405,-0.2228,-0.1576,,1449.0,AAOI,-0.03632787878959581,0.631972608422919,0.13125561359423832,-0.0229582243171325,1177.0,1179.0,419.63333333333327,1177.0
1,25,AAT,Return on Capital Employed,0.0449,0.0531,0.0509,0.0425,0.0383,0.0423,0.0306,0.0298,0.0356,0.0402,,889.0,AAT,-0.0018303030303902254,0.517619635266694,0.0073070924450153235,-0.0009474007870181132,910.0,92.0,260.3333333333333,795.0
2,41,ABCB,Return on Capital Employed,0.0177,0.0129,0.0182,0.125,0.0195,0.095,0.1126,0.0373,0.0344,0.0288,,1008.5,ABCB,0.0023284848485895554,0.026650744572812912,0.04096809002138128,6.205585494142519e-05,584.0,538.0,234.8166666666667,668.0
3,57,ABG,Return on Capital Employed,0.205,0.2591,0.2788,0.2216,0.2192,0.2023,0.1682,0.1249,0.2117,0.1328,,321.0,ABG,-0.01168606060660708,0.5164337475198519,0.046707626786211265,-0.006035076072814209,1077.0,603.0,259.7,792.0
4,73,ABM,Return on Capital Employed,0.0811,0.0671,0.0341,0.0104,0.0507,0.0757,0.0351,0.0662,0.0999,0.1112,,391.5,ABM,0.004606666666885887,0.20049410737635787,0.029550372248078365,0.0009236095213577077,391.0,389.0,130.28333333333333,191.0
5,89,ABOS,Return on Capital Employed,,,,,,-1.3222,-0.1924,-0.4468,-0.2396,-0.1782,,1470.0,ABOS,,,0.43402896493206533,,,1554.0,,
6,105,ABR,Return on Capital Employed,50.9667,10.3568,0.0427,0.0531,0.0652,0.0724,0.0701,0.0564,0.0683,0.0859,,523.5,ABR,-3.21103030318219,0.36625584437378944,15.239794001639263,-1.1760586150018182,1234.0,1808.0,368.98333333333335,1132.0
7,121,ABSI,Return on Capital Employed,,,,,,-0.3946,-0.1748,-0.2713,-0.3591,-0.5341,,1709.0,ABSI,,,0.12066620736560837,,,1144.0,,
8,137,ABUS,Return on Capital Employed,-0.3728,-0.1102,-1.8436,-0.4813,-0.2809,-1.6813,-0.4684,-0.3797,-0.3893,-0.5938,,1733.0,ABUS,0.01221272727332094,0.0038485190911500267,0.5654481798538218,4.7000914066384246e-05,596.0,1592.0,362.1666666666667,1117.0
9,153,ACA,Return on Capital Employed,,,0.1452,0.0911,0.0495,0.0761,0.0637,0.0379,0.1168,0.0712,,620.5,ACA,,,0.033115250923856816,,,434.0,,
10,169,ACAD,Return on Capital Employed,-0.2993,-0.8206,-0.5208,-0.8593,-0.5075,-0.3309,-0.4152,-0.2773,-0.4475,-0.1032,,1387.0,ACAD,0.0430484848505245,0.3053263876047235,0.22377041895657254,0.013143838371267313,109.0,1385.0,227.9333333333333,622.0
11,185,ACCD,Return on Capital Employed,,,,,-10.3338,-5.9434,-0.8872,-0.1184,-0.1072,-0.5908,-0.1361,1730.0,ACCD,,,3.8597979964414373,,,1765.0,,
12,201,ACCO,Return on Capital Employed,0.1019,0.1101,0.1052,0.0881,0.091,0.094,0.0471,0.0662,0.0274,0.0216,,1060.0,ACCO,-0.009797575758044047,0.8224711380244116,0.031030249757293286,-0.008058223283598875,1107.0,408.0,329.35,1048.0
13,217,ACDC,Return on Capital Employed,,,,,,-0.0672,-0.2167,-0.0429,0.1815,0.0226,,1052.5,ACDC,,,0.12942727069671214,,,1174.0,,
14,233,ACEL,Return on Capital Employed,,,,0.0031,-0.0018,0.0268,-0.0319,0.1089,0.1506,0.1192,,368.0,ACEL,,,0.06592023008677896,,,781.0,,
15,249,ACHR,Return on Capital Employed,,,,,,-0.0943,-0.6474,-0.4686,-0.5908,-1.0016,,1804.0,ACHR,,,0.29285728674560924,,,1462.0,,
16,265,ACHV,Return on Capital Employed,-0.8726,-0.4995,-1.1145,-1.7304,-0.8102,-0.9004,-0.3942,-0.7716,-1.6594,18.6976,,4.0,ACHV,1.0523963636861529,0.2611153890069501,5.915481208118238,0.2747968858934095,9.0,1782.0,91.14999999999999,56.0
17,281,ACIC,Return on Capital Employed,0.1203,0.0625,0.0086,0.0022,0.0027,-0.0104,-0.0095,-0.0306,-0.16,0.6085,,16.0,ACIC,0.015709696970438333,0.05355895008372136,0.19497492172071773,0.0008413948758700953,397.0,1343.0,141.53333333333333,236.0
18,297,ACIW,Return on Capital Employed,0.0941,0.0967,0.148,0.0536,0.073,0.0515,0.0626,0.0915,0.1105,0.0939,,480.0,ACIW,-0.0011042424242996706,0.01315010108003034,0.027658387516267105,-1.452089949639842e-05,745.0,360.0,202.58333333333334,489.0
19,313,ACLS,Return on Capital Employed,-0.0472,0.0817,0.0623,0.1189,0.1291,0.0544,0.1131,0.2077,0.2749,0.2848,,75.0,ACLS,0.03015333333476169,0.7863100003874021,0.0976709480859073,0.02370986754613793,76.0,1018.0,72.33333333333333,10.0
20,329,ACMR,Return on Capital Employed,,0.257,0.066,0.011,0.1384,0.1164,0.0729,0.0457,0.0688,0.1004,,446.5,ACMR,,,0.06672096122409109,,,791.0,,
21,345,ACNB,Return on Capital Employed,0.0163,0.0167,0.0158,0.014,0.0207,0.023,0.0139,0.0153,0.0196,0.0547,,750.5,ACNB,0.002214545454648499,0.30165475340012715,0.011581277995109175,0.0006680281630153654,419.0,153.0,159.51666666666668,304.0
22,361,ACRE,Return on Capital Employed,0.0424,0.0676,0.0974,0.0798,0.0637,0.0818,0.058,0.0614,0.0398,0.0325,,964.0,ACRE,-0.0030969696971148574,0.2105596960417282,0.019385468784633503,-0.0006520969980749474,885.0,253.0,271.3,848.0
23,377,ACRV,Return on Capital Employed,,,,,,,-3.4983,-0.1586,-0.1869,-0.4833,,1695.0,ACRV,,,1.4009656265858204,,,1707.0,,
24,393,ACT,Return on Capital Employed,,,,,0.1615,0.1953,0.0972,0.1305,0.1719,0.159,,237.0,ACT,,,0.031287679506299106,,,411.0,,
25,409,ACTG,Return on Capital Employed,-0.1254,-0.4933,-0.134,0.0983,-0.5333,-0.0918,0.2918,0.303,-0.3051,0.1114,,389.0,ACTG,0.04033696969887727,0.17103743929192972,0.28014614471735994,0.006899132006092129,176.0,1450.0,143.66666666666666,243.0
26,425,ACVA,Return on Capital Employed,,,,,,-0.3732,-0.1677,-0.1368,-0.1784,-0.1242,,1409.0,ACVA,,,0.0907417786909646,,,970.0,,
27,441,ADCT,Return on Capital Employed,,,,-0.3679,-0.984,-0.9831,-0.5093,-0.4286,-0.2737,-0.5385,,1712.0,ADCT,,,0.2656701522488335,,,1430.0,,
28,457,ADEA,Return on Capital Employed,0.2997,0.3192,0.0811,-0.0297,0.0288,-0.0597,0.0714,0.0037,0.1477,0.1421,,294.0,ADEA,-0.01691575757656348,0.1575686386450419,0.12240059681227047,-0.002665392892988661,1000.0,1149.0,270.18333333333334,840.0
29,473,ADMA,Return on Capital Employed,-0.6982,-0.7012,-1.2109,-0.3654,-0.691,-0.3475,-0.3397,-0.2383,-0.1508,0.0177,,1101.5,ADMA,0.09442121212564925,0.6454237146554866,0.33757796151407754,0.060941689472410215,30.0,1489.0,190.1,426.0
30,489,ADNT,Return on Capital Employed,0.0984,0.1407,0.0372,0.1246,-0.1575,0.026,-0.0324,0.2295,0.0476,0.0862,,520.5,ADNT,-0.0005303030303290309,0.00023375960163418696,0.0996245456702313,-1.2396342511511643e-07,704.0,1026.0,232.41666666666666,655.0
31,505,ADPT,Return on Capital Employed,,,,-0.1278,-0.1392,-0.0823,-0.1446,-0.2561,-0.2626,-0.369,,1630.0,ADPT,,,0.09366393900209277,,,991.0,,
32,521,ADTN,Return on Capital Employed,0.0978,0.0487,0.0878,0.0805,-0.0644,-0.0587,-0.0145,-0.0152,-0.0485,-0.1591,,1451.0,ADTN,-0.022950303031388827,0.7052281759645711,0.0784965502426699,-0.01618520034466051,1156.0,890.0,401.53333333333336,1164.0
33,537,ADUS,Return on Capital Employed,0.1334,0.1083,0.1012,0.1241,0.0919,0.065,0.0594,0.0795,0.0852,0.1051,,420.0,ADUS,-0.004520606060819284,0.3273067529687932,0.022695834419558136,-0.0014796248912178065,942.0,295.0,229.45000000000002,636.0
34,553,ADV,Return on Capital Employed,,0.0363,0.0395,,-0.1983,0.0389,0.0129,0.0434,-0.3873,0.0227,,1050.5,ADV,,,0.14877936212307807,,,1237.0,,
35,569,ADVM,Return on Capital Employed,-0.1633,-0.1773,-0.5097,-0.2936,-0.3643,-0.3103,-0.2521,-0.3373,-0.5691,-0.7984,,1791.0,ADVM,-0.044957575759669896,0.4814059670793486,0.18611189215093163,-0.021642845236126966,1176.0,1329.0,461.1499999999999,1211.0
