symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading,roce_2024,operating_margin_2024,revenue_growth_2024,roce_2014,operating_margin_2014,revenue_growth_2014,roce_2015,operating_margin_2015,revenue_growth_2015,roce_2016,operating_margin_2016,revenue_growth_2016,roce_2017,operating_margin_2017,revenue_growth_2017,roce_2018,operating_margin_2018,revenue_growth_2018,roce_2019,operating_margin_2019,revenue_growth_2019,roce_2020,operating_margin_2020,revenue_growth_2020,roce_2021,operating_margin_2021,revenue_growth_2021,roce_2022,operating_margin_2022,revenue_growth_2022,roce_2023,operating_margin_2023,revenue_growth_2023,roce_growth,roce_current_year,operating_margin_growth,operating_margin_current_year,revenue_growth_current_year,roce_growth_rank,operating_margin_growth_rank,revenue_growth_current_year_rank,roce_current_year_rank,operating_margin_current_year_rank,final_score,final_rank
ASPI,ASP Isotopes Inc. Common Stock,0.4,Basic Materials,Chemicals,3.917,5.55,0.0,3813304,NASDAQ Global Market,NASDAQ,US,False,False,True,-29.63,-671.79,681.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.44,-3704.63,,35.81,-29.63,3032.84,-671.79,681.33,21.0,25.0,41.0,104.0,104.0,58.0,1.0
LWLG,"Lightwave Logic, Inc.",0.35,Basic Materials,Chemicals - Specialty,2.019,2.87,0.0,414032,NASDAQ Capital Market,NASDAQ,US,False,False,True,-62.93,-20078.22,179.47,-108.27,-175727.36,,,,,,,,,,,,,,,,,,,,,,,,,,-54.15,-52405.47,,4.8237232396564425,-62.93,14658.453965784442,-20078.22,179.47,144.0,11.0,92.0,105.0,105.0,94.0,2.0
TRDA,"Entrada Therapeutics, Inc.",0.74,Healthcare,Biotechnology,-0.265,19.89,0.0,75845,NASDAQ Global Market,NASDAQ,US,False,False,True,11.94,26.85,66.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02,-2.45,,12.96,11.94,29.300000000000004,26.85,66.83,57.0,139.0,264.0,77.0,33.0,103.65,3.0
TRTX,"TPG RE Finance Trust, Inc.",0.74,Real Estate,REIT - Mortgage,2.221,9.13,0.96,148613,New York Stock Exchange,NYSE,US,False,False,True,2.31,53.9,458.01,,,,5.12,140.72,,4.94,148.26,15.1,11.6,144.86,34.35,6.8,168.78,15.9,2.16,76.96,19.29,-2.78,493.5,-116.78,2.68,82.22,-713.84,1580.92,56083.06,-7.98,0.06,9.4,-82.27,3.847347956057312,2.31,140.25586326706147,53.9,458.01,168.0,87.0,49.0,149.0,42.0,104.95,4.0
ADMA,"ADMA Biologics, Inc.",4.75,Healthcare,Biotechnology,0.645,20.11,0.0,3967027,NASDAQ Global Market,NASDAQ,US,False,False,True,33.23,30.01,48.25,-69.56,-270.79,92.84,-79.57,-216.14,21.34,-139.06,-162.56,48.53,-39.88,-172.71,113.49,-76.07,-354.95,-25.37,-36.64,-141.14,72.79,-34.58,-153.75,43.85,-23.74,-72.12,91.72,-12.73,-25.55,90.36,7.74,8.38,67.59,8.499906576669364,33.23,19.696774738563846,30.01,48.25,91.0,162.0,392.0,14.0,21.0,120.94999999999999,5.0
PTGX,"Protagonist Therapeutics, Inc.",2.61,Healthcare,Biotechnology,2.163,43.8,0.0,320161,NASDAQ Global Market,NASDAQ,US,False,False,True,26.66,46.05,439.66,,,,,,,,,,-31.27,-188.89,,-37.3,-136.68,54.14,-67.38,-34857.58,-99.25,-22.7,-225.36,12293.07,-41.44,-460.01,-4.44,-60.61,-494.24,-2.84,-27.82,-156.09,125.73,1.161184706824921,26.66,76.84693963258684,46.05,439.66,373.0,107.0,51.0,19.0,10.0,128.10000000000002,6.0
FENC,Fennec Pharmaceuticals Inc.,0.17,Healthcare,Biotechnology,0.267,6.06,0.0,144846,NASDAQ Capital Market,NASDAQ,US,False,False,True,3.06,3.18,132.93,,,,,,,,,,,,,,,,,,,-61.52,-10520.59,,,,,-101.16,-1471.6,,-66.13,-60.09,1284.5,3.9348643666146055,3.06,2358.4066914014948,3.18,132.93,165.0,30.0,119.0,160.0,158.0,128.7,7.0
PR,Permian Resources Corporation,12.58,Energy,Oil & Gas Exploration & Production,4.351,15.66,0.6,2105098,New York Stock Exchange,NYSE,US,False,False,True,11.79,37.47,54.68,-3.99,-15.5,86.27,-242808.7,-61.74,-31.38,-8.35,-216.25,9.26,3.08,24.49,334.98,7.05,31.73,107.27,-7.14,-33.5,5.98,-2.41,-15.38,-38.53,10.19,35.99,77.43,12.77,47.27,106.94,7.99,35.13,46.43,1413.450227333989,11.79,4.041117726116975,37.47,54.68,6.0,332.0,338.0,58.0,28.0,135.79999999999998,8.0
HIMS,"Hims & Hers Health, Inc.",6.77,Consumer Defensive,Household & Personal Products,1.062,32.22,0.0,10211515,New York Stock Exchange,NYSE,US,False,False,True,7.83,2.84,42.43,,,,,,,,,,,,,-323.54,-284.0,,-144.64,-90.14,209.45,-14.64,-10.18,80.18,-33.7,-42.31,82.77,-21.58,-13.04,93.81,-8.35,-3.38,65.49,29.616129355333385,7.83,22.136098971301674,2.84,42.43,24.0,156.0,436.0,77.0,102.0,138.4,9.0
TMDX,"TransMedics Group, Inc.",2.91,Healthcare,Medical - Devices,2.071,86.71,0.0,1026978,NASDAQ Global Market,NASDAQ,US,False,False,True,4.34,7.84,66.0,,,,,,,-47.26,-370.2,,-78.25,-265.79,23.77,-68.36,-155.47,69.38,-33.19,-125.42,81.33,-18.83,-102.91,8.62,-35.31,-130.29,18.03,-12.4,-33.64,208.83,-4.41,-11.89,158.53,6.809679250298371,4.34,36.80096964656106,7.84,66.0,103.0,129.0,268.0,150.0,116.0,144.95,10.0
