,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,AAOI,Gross Margin,0.3392,0.3183,0.3335,0.4349,0.3282,0.2421,0.2154,0.1783,0.1509,0.2707,
1,AAOI,Operating Margin,0.0394,0.0708,0.0883,0.2274,-0.0403,-0.2554,-0.1966,-0.2683,-0.2648,-0.19,
2,AAOI,Net Profit Margin,0.0328,0.0568,0.1198,0.1934,-0.008,-0.346,-0.2491,-0.256,-0.298,-0.2575,
3,AAOI,Interest Coverage Ratio,34.684,22.4686,21.6704,125.0956,17.1157,-4.5759,-3.7979,-5.5873,-5.6648,-2.2191,
4,AAOI,Income Before Tax Profit Margin,0.0344,0.0588,0.0806,0.2211,-0.0366,-0.2692,-0.2183,-0.256,-0.298,-0.2575,
5,AAOI,Effective Tax Rate,0.0444,0.0336,-0.4871,0.1251,0.7805,-0.2853,-0.1411,-0.0,-0.0,-0.0002,
6,AAOI,Return on Assets,,0.0472,0.1048,0.1908,-0.0047,-0.1415,-0.1234,-0.1158,-0.1539,-0.1406,
7,AAOI,Return on Equity,,0.077,0.159,0.2638,-0.0065,-0.2191,-0.2119,-0.2034,-0.3023,-0.2806,
8,AAOI,Return on Invested Capital,,0.0571,0.124,0.2264,-0.0054,-0.16,-0.139,-0.1305,-0.1814,-0.1671,
9,AAOI,Return on Capital Employed,0.0356,0.0611,0.0866,0.2234,-0.0223,-0.1225,-0.1207,-0.1405,-0.2228,-0.1576,
10,AAOI,Return on Tangible Assets,,0.0336,0.0773,0.148,-0.0036,-0.1029,-0.0858,-0.0798,-0.1018,-0.0924,
11,AAOI,Income Quality Ratio,1.6909,-1.4094,1.8283,1.1397,-6.5373,0.0266,0.7529,0.215,0.2112,0.1415,
12,AAOI,Net Income per EBT,0.9556,0.9664,1.4871,0.8749,0.2195,1.2853,1.1411,1.0,1.0,1.0002,
13,AAOI,Free Cash Flow to Operating Cash Flow Ratio,-5.1404,4.7837,0.1246,0.1655,-4.5062,19.3107,1.4445,1.9155,1.3022,2.8787,
14,AAOI,EBT to EBIT Ratio,0.9322,0.9165,0.9244,0.99,1.1275,1.1175,1.1236,1.1158,1.1052,1.2023,
15,AAOI,EBIT to Revenue,0.0369,0.0642,0.0871,0.2233,-0.0324,-0.2409,-0.1943,-0.2294,-0.2696,-0.2142,
16,AAT,Gross Margin,0.6491,0.6444,0.6342,0.6296,0.6329,0.6401,0.6485,0.6547,0.6393,0.6284,
17,AAT,Operating Margin,0.3218,0.3416,0.3319,0.2973,0.2404,0.31,0.2571,0.2657,0.2715,0.276,
18,AAT,Net Profit Margin,0.1198,0.1956,0.1547,0.1274,0.0822,0.1641,0.0803,0.0755,0.1029,0.1142,
19,AAT,Interest Coverage Ratio,2.8365,3.3335,7.2135,7.4095,7.9878,8.4933,7.9295,6.4149,7.258,6.818,
20,AAT,Income Before Tax Profit Margin,0.1198,0.1956,0.1547,0.1274,0.0822,0.1641,0.1033,0.0974,0.1322,0.149,
21,AAT,Effective Tax Rate,0.0148,0.0055,0.0124,0.0053,0.012,0.0136,-0.0003,0.0202,0.0152,0.0158,
22,AAT,Return on Assets,,0.0275,0.023,0.0189,0.0122,0.0241,0.0099,0.0097,0.0145,0.0169,
23,AAT,Return on Equity,,0.0676,0.0547,0.0477,0.033,0.0574,0.0217,0.023,0.0363,0.0431,
24,AAT,Return on Invested Capital,,0.0518,0.0579,0.0529,0.0369,0.0593,0.0392,0.0425,0.0425,0.0458,
25,AAT,Return on Capital Employed,0.0449,0.0531,0.0509,0.0425,0.0383,0.0423,0.0306,0.0298,0.0356,0.0402,
26,AAT,Return on Tangible Assets,,0.017,0.0144,0.0117,0.0074,0.0151,0.0063,0.0061,0.0089,0.0104,
27,AAT,Income Quality Ratio,3.3909,2.0537,2.6878,3.6343,5.0183,2.5556,3.5682,4.6,3.2048,2.9178,
28,AAT,Net Income per EBT,0.9854,0.9946,0.9877,0.9947,0.9881,0.9866,1.0003,0.9747,0.9808,0.9798,
29,AAT,Free Cash Flow to Operating Cash Flow Ratio,-0.3699,-0.2118,0.5138,0.6744,0.6014,0.4258,0.5,0.3787,0.3646,0.5604,
30,AAT,EBT to EBIT Ratio,0.3737,0.5342,0.4708,0.4283,0.3451,0.5304,0.341,0.332,0.4324,0.4428,
31,AAT,EBIT to Revenue,0.3253,0.3681,0.3326,0.299,0.2411,0.3136,0.2353,0.2334,0.2427,0.2632,
32,ABCB,Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0532,
33,ABCB,Operating Margin,0.3892,0.3273,0.4215,0.4644,0.4837,0.3026,0.3153,0.4877,0.503,-0.0211,
34,ABCB,Net Profit Margin,0.1944,0.1678,0.226,0.2037,0.2644,0.2309,0.2428,0.3705,0.3193,0.1861,
35,ABCB,Interest Coverage Ratio,5.4399,5.6138,7.533,5.284,3.4454,1.9255,4.4547,11.3852,6.4264,0.2041,
36,ABCB,Income Before Tax Profit Margin,0.2821,0.2331,0.3299,0.3442,0.3309,0.3026,0.3153,0.4877,0.4174,0.2468,
37,ABCB,Effective Tax Rate,0.311,0.2802,0.3149,0.4082,0.2011,0.237,0.23,0.2403,0.2352,0.2461,
38,ABCB,Return on Assets,,0.0085,0.0116,0.01,0.0125,0.0109,0.0135,0.017,0.0142,0.0107,
39,ABCB,Return on Equity,,0.0928,0.1242,0.1014,0.1071,0.0822,0.1024,0.1343,0.1124,0.0812,
40,ABCB,Return on Invested Capital,,0.0834,0.0874,0.0746,0.0969,0.0654,0.0844,0.1191,0.0859,0.0666,
41,ABCB,Return on Capital Employed,0.0177,0.0129,0.0182,0.125,0.0195,0.095,0.1126,0.0373,0.0344,0.0288,
42,ABCB,Return on Tangible Assets,,0.0044,0.006,0.0052,0.0066,0.0078,0.0128,0.0164,0.0096,0.0057,
43,ABCB,Income Quality Ratio,-0.1445,-0.6175,-0.9676,-0.8506,-0.899,-5.8239,3.0475,0.0242,3.0659,1.7647,
44,ABCB,Net Income per EBT,0.689,0.7198,0.6851,0.5918,0.7989,0.763,0.77,0.7597,0.7648,0.7539,
45,ABCB,Free Cash Flow to Operating Cash Flow Ratio,2.0202,1.4986,1.1573,1.0601,1.092,1.0123,0.9773,-1.7842,0.9872,0.9631,
46,ABCB,EBT to EBIT Ratio,0.7929,0.7925,0.8424,0.7841,0.6842,0.6172,0.7931,0.9121,0.8299,0.7997,
47,ABCB,EBIT to Revenue,0.3558,0.2941,0.3917,0.439,0.4837,0.4903,0.3975,0.5346,0.503,0.3086,
48,ABG,Gross Margin,0.1648,0.161,0.1622,0.1635,0.1605,0.1621,0.1715,0.1934,0.2009,0.1816,
49,ABG,Operating Margin,0.0457,0.0458,0.0456,0.0446,0.0452,0.0451,0.052,0.0805,0.0825,0.0723,
50,ABG,Net Profit Margin,0.019,0.0257,0.0256,0.0215,0.0244,0.0256,0.0357,0.0541,0.0646,0.0407,
51,ABG,Interest Coverage Ratio,5.5272,5.2472,4.351,4.0687,4.0023,3.8922,5.5013,8.1655,8.5112,7.032,
52,ABG,Income Before Tax Profit Margin,0.0312,0.0415,0.041,0.0324,0.0327,0.0338,0.0474,0.0709,0.0855,0.0541,
53,ABG,Effective Tax Rate,0.388,0.3804,0.3757,0.3348,0.2527,0.244,0.2476,0.2369,0.244,0.2481,
54,ABG,Return on Assets,,0.0752,0.072,0.0593,0.0665,0.0658,0.0772,0.0912,0.1245,0.0663,
55,ABG,Return on Equity,,0.4456,0.5628,0.4128,0.3874,0.3294,0.3279,0.3525,0.3974,0.196,
56,ABG,Return on Invested Capital,,0.0835,0.081,0.0669,0.0743,0.0744,0.0878,0.107,0.1503,0.0813,
57,ABG,Return on Capital Employed,0.205,0.2591,0.2788,0.2216,0.2192,0.2023,0.1682,0.1249,0.2117,0.1328,
58,ABG,Return on Tangible Assets,,0.0408,0.0381,0.0316,0.0359,0.0359,0.0418,0.0482,0.0661,0.0362,
59,ABG,Income Quality Ratio,0.7545,0.9184,0.8511,1.9145,0.0601,1.897,2.5649,2.1858,0.6979,0.5195,
60,ABG,Net Income per EBT,0.6112,0.6193,0.6243,0.6652,0.7473,0.756,0.7524,0.7631,0.756,0.7519,
